Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
BRGE12  6.00    8.24       0.36    11.898     0.00    0.057      0.93       -1.01      -0.67       3.00        3.01    -11.7258    2.2765      1.10    -0.0721     0.0438 32728.90
BRGE3   9.26    12.71      0.56    18.362     0.00    0.088      1.44       -1.57      -1.04       2.45        2.46    -11.7258    2.2765      1.10    -0.0721     0.0438 27156.80
BRGE5   17.00   23.34      1.02    33.711     0.00    0.161      2.64       -2.87      -1.91       1.14        1.15    -11.7258    2.2765      1.10    -0.0721     0.0438 613.98 
BRGE6   44.99   61.76      2.71    89.214     0.0157  0.425      6.99       -7.61      -5.05       -3.59       -3.60   -11.7258    2.2765      1.10    -0.0721     0.0438 2228.29
BRGE8   7.31    10.03      0.44    14.496     0.0402  0.069      1.14       -1.24      -0.82       2.78        2.79    -11.7258    2.2765      1.10    -0.0721     0.0438 15811.10
BRIV3   7.88    9.92       0.46    0.000      0.00    0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0466 22662.90
BRIV4   7.48    9.42       0.44    0.000      0.0912  0.000      0.00       0.00       0.00        0.00        0.00    0.00        0.00        0.00    0.00        0.0466 53038.10
BRKM3   24.01   -1.85      -5.66   0.384      0.0349  0.226      1.94       11.72      -0.33       30.02       8.95    0.0328      -0.218      1.46    0.028       3.0676 474939.00
BRKM5   23.97   -1.84      -5.65   0.384      0.035   0.226      1.94       11.70      -0.33       30.00       8.95    0.0328      -0.218      1.46    0.028       3.0676 67593600.00
BRKM6   18.00   -1.38      -4.25   0.288      0.0337  0.170      1.45       8.78       -0.25       27.08       8.08    0.0328      -0.218      1.46    0.028       3.0676 333.53 
BRML3   10.25   54.26      0.85    8.052      0.00    0.480      8.96       12.15      -1.47       15.14       14.63   0.6626      0.224       2.89    0.0423      0.0157 157468000.00
